iter	RMSE
221	6.04839017
222	6.047334788
223	6.044703762
224	6.04394779
225	6.041260943
226	6.039932697
227	6.034234657
228	6.031955225
229	6.03107602
230	6.030282109
231	6.028671264
232	6.028295345
233	6.026622448
234	6.025453141
235	6.023491881
236	6.022728456
237	6.022085775
238	6.021064756
239	6.019525651
240	6.01803632
241	6.016844749
242	6.016256727
243	6.014942695
244	6.011621916
245	6.010443435
246	6.009296843
247	6.006985597
248	6.006000314
249	6.004616351
250	6.003621566
251	6.002092261
252	6.001296233
253	5.999858102
254	5.99853131
255	5.997409054
256	5.995435547
257	5.994534903
258	5.990722332
259	5.98994812
260	5.988716207
261	5.987472207
262	5.98616161
263	5.985427498
264	5.984011876
265	5.982692819
266	5.978298317
267	5.97695257
268	5.975725178
269	5.975049871
270	5.972791727
271	5.97154565
272	5.96997425
273	5.969428165
274	5.968426272
275	5.967229294
276	5.966085919
277	5.965276953
278	5.963812245
279	5.962637803
280	5.960271577
281	5.959604381
282	5.958295719
283	5.956498781
284	5.955573077
285	5.95482163
286	5.954106806
287	5.951969533
288	5.951239177
289	5.95004259
290	5.946148966
291	5.944926332
292	5.943832654
293	5.942546934
294	5.941739971
295	5.941354117
296	5.940024892
297	5.938143463
298	5.937103352
299	5.936284309
300	5.935516235
301	5.934334083
302	5.932990034
303	5.929247776
304	5.92863535
305	5.927947879
306	5.926227763
307	5.925000793
308	5.923998562
309	5.922770286
310	5.922026795
311	5.921097526
312	5.919755149
313	5.918733643
314	5.915860894
315	5.915019399
316	5.914439235
317	5.913170496
318	5.912319125
319	5.911567989
320	5.91042634
321	5.909316743
322	5.908045029
323	5.907292541
324	5.904724623
325	5.903802207
326	5.902716234
327	5.901415095
328	5.899380177
329	5.897524855
330	5.896907191
331	5.896025974
332	5.894791241
333	5.893707692
334	5.893233284
335	5.891961294
336	5.891587102
337	5.890342093
338	5.888670447
339	5.888153086
340	5.886712187
341	5.886142902
342	5.883874176
343	5.882887079
344	5.881365591
345	5.880238198
346	5.879072074
347	5.878366405
348	5.877214972
349	5.875184494
350	5.873988225
351	5.872547573
352	5.871763645
353	5.870625786
354	5.869957242
355	5.868115481
356	5.866777742
357	5.866018681
358	5.86454543
359	5.863508678
360	5.862417191
361	5.860591374
362	5.858167919
363	5.855505484
364	5.854792067
365	5.853761099
366	5.853066787
367	5.852580926
368	5.851734155
369	5.851170828
370	5.849743417
371	5.849154451
372	5.848633782
373	5.847616904
374	5.84683502
375	5.846215384
376	5.845553703
377	5.844142809
378	5.842924554
379	5.841873911
380	5.840089729
381	5.83947961
382	5.838916513
383	5.838183313
384	5.837456667
385	5.837069882
386	5.835916724
387	5.834979421
388	5.834229934
389	5.832798994
390	5.831689971
391	5.830832515
392	5.8297676
393	5.828328456
394	5.827182266
395	5.826187907
396	5.825546405
397	5.824768651
398	5.823999432
399	5.820498857
400	5.81909049
401	5.817847544
402	5.816769726
403	5.816465787
404	5.815036024
405	5.813547147
406	5.812565528
407	5.812125783
408	5.811161854
409	5.810306833
410	5.809507719
411	5.809362801
412	5.808304129
413	5.807444604
414	5.806834396
415	5.80567416
416	5.805295941
417	5.80439565
418	5.803352184
419	5.802272013
420	5.80017326
421	5.799340562
422	5.798400332
423	5.79789982
424	5.797319098
425	5.795100625
426	5.79432441
427	5.793669211
428	5.792681175
429	5.791859043
430	5.790894587
431	5.7898348
432	5.788618519
433	5.786495909
434	5.785316977
435	5.784468275
436	5.782087595
437	5.780610142
438	5.779673555
439	5.779187013
440	5.778331432
441	5.777476798
442	5.776687187
443	5.775930501
444	5.774277537
445	5.772770836
446	5.771544788
447	5.771127661
448	5.770300568
449	5.76958397
450	5.768805986
451	5.767921726
452	5.767223556
453	5.766107794
454	5.765005246
455	5.763948241
456	5.763051021
457	5.762587
458	5.761745424
459	5.761217647
460	5.760112583
461	5.758934742
462	5.758033839
463	5.757159295
464	5.756388064
465	5.755526242
466	5.75467939
467	5.753822171
468	5.752780711
469	5.752405018
470	5.751575288
471	5.749986141
472	5.749132208
473	5.748051191
474	5.746721695
475	5.74616756
476	5.745339807
477	5.744726328
478	5.743634304
479	5.74254798
480	5.741820718
481	5.741038001
482	5.740446417
483	5.739583386
484	5.738256325
485	5.737449815
486	5.73677006
487	5.735260091
488	5.734392398
489	5.733448116
490	5.732628305
491	5.732028374
492	5.731095579
493	5.730296118
494	5.729336204
495	5.728521102
496	5.727407515
497	5.726868868
498	5.726207384
499	5.725603861
500	5.725086383
501	5.723319944
502	5.722865337
503	5.721174876
504	5.720265866
505	5.719075363
506	5.718202066
507	5.717850919
508	5.717112618
509	5.716659461
510	5.715719696
511	5.715308596
512	5.714440882
513	5.713423906
514	5.712724326
515	5.711771028
516	5.711155303
517	5.710365081
518	5.709729444
519	5.708618258
520	5.707668744
521	5.705097891
522	5.704199935
523	5.703192496
524	5.701795002
525	5.701183652
526	5.699540357
527	5.698862518
528	5.698425456
529	5.697776037
530	5.696769129
531	5.695958136
532	5.695304276
533	5.694751359
534	5.693791722
535	5.693136189
536	5.692312674
537	5.691495616
538	5.690858028
539	5.690011047
540	5.6889647
541	5.688110928
542	5.687250902
543	5.686189057
544	5.685515513
545	5.684766981
546	5.68436258
547	5.683552045
548	5.682961813
549	5.682233128
550	5.681704436
551	5.681089511
552	5.680184089
553	5.679675828
554	5.678691996
555	5.678279577
556	5.677693236
557	5.676922236
558	5.67568159
559	5.675002134
560	5.674268508
561	5.673251685
562	5.672739635
563	5.67223881
564	5.671632072
565	5.670711901
566	5.669450695
567	5.668615231
568	5.668280408
569	5.666811671
570	5.666093657
571	5.665582391
572	5.664817284
573	5.664377302
574	5.663846994
575	5.66318174
576	5.662209693
577	5.661366498
578	5.66094169
579	5.660264887
580	5.658892744
581	5.658151503
582	5.657788138
583	5.657200533
584	5.65649025
585	5.655909566
586	5.655411783
587	5.654025674
588	5.653093788
589	5.65210571
590	5.651395723
591	5.650669785
592	5.649878982
593	5.648982941
594	5.648296909
595	5.647731682
596	5.647224684
597	5.646614696
598	5.645925769
599	5.645080922
600	5.64417633
601	5.643553051
602	5.643017139
603	5.642218438
604	5.641393201
605	5.640573475
606	5.64010562
607	5.639480362
608	5.638896295
609	5.638091389
610	5.637408502
611	5.636936908
612	5.63617647
613	5.635486999
614	5.634993722
615	5.634479831
616	5.633971363
617	5.633218059
618	5.632577911
619	5.632151236
620	5.631805313
621	5.631328767
622	5.630176921
623	5.629416895
624	5.62755145
625	5.626959493
626	5.626369956
627	5.625974862
628	5.625241113
629	5.624856576
630	5.6241447
631	5.623734234
632	5.623288692
633	5.622969204
634	5.62209513
635	5.621396994
636	5.620663047
637	5.61993263
638	5.618900235
639	5.61854136
640	5.617798079
641	5.61648023
642	5.616116877
643	5.615373542
644	5.614498335
645	5.613966886
646	5.613527116
647	5.612860919
648	5.611809256
649	5.611300208
650	5.610749454
651	5.610263249
652	5.609497845
653	5.609133706
654	5.608610568
655	5.607987033
656	5.60750929
657	5.60635872
658	5.605776873
659	5.605005697
660	5.604445478
661	5.603924895
662	5.603304394
663	5.602837902
664	5.602308717
665	5.601835965
666	5.600976925
667	5.600467204
668	5.600054923
669	5.599040237
670	5.598477288
671	5.59805505
672	5.597100979
673	5.596284426
674	5.595892177
675	5.595561501
676	5.594981819
677	5.594103021
678	5.593632291
679	5.593170702
680	5.592717364
681	5.59195838
682	5.591496525
683	5.590692295
684	5.590237624
685	5.589788797
686	5.589247623
687	5.588654058
688	5.588074994
689	5.587643327
690	5.587149851
691	5.586203494
692	5.585896822
693	5.585113568
694	5.584472459
695	5.583857631
696	5.583401346
697	5.582359056
698	5.581530756
699	5.580879443
700	5.579297595
701	5.578154477
702	5.578000126
703	5.577372862
704	5.57688736
705	5.576395202
706	5.575672182
707	5.57525004
708	5.573990326
709	5.573141123
710	5.572741336
711	5.571850919
712	5.570273845
713	5.569408343
714	5.568844022
715	5.568470058
716	5.567918398
717	5.567464362
718	5.567000986
719	5.566538296
720	5.565871794
721	5.564788414
722	5.563283925
723	5.562735396
724	5.561784139
725	5.56053064
726	5.560120914
727	5.559723194
728	5.558819455
729	5.558055888
730	5.557502961
731	5.55711065
732	5.556459668
733	5.555542001
734	5.55497462
735	5.553446176
736	5.553003297
737	5.552391568
738	5.552079932
739	5.551627739
740	5.550712923
741	5.550319878
742	5.549929698
743	5.549469228
744	5.548537194
745	5.547776225
746	5.547318699
747	5.547021549
748	5.546566708
749	5.545892937
750	5.545231887
751	5.544803203
752	5.544479903
753	5.543827656
754	5.54317095
755	5.542368554
756	5.540849125
757	5.539829233
758	5.539388864
759	5.538890513
760	5.536604641
761	5.536139367
762	5.535692598
763	5.53417311
764	5.533496408
765	5.53278904
766	5.532322372
767	5.531543244
768	5.530849813
769	5.530125707
770	5.529586441
771	5.529060586
772	5.5285925
773	5.528240913
774	5.527412109
775	5.527104238
776	5.526357945
777	5.526058486
778	5.52571191
779	5.524593094
780	5.523850987
781	5.523603355
782	5.52292736
783	5.522377789
784	5.521880708
785	5.52102468
786	5.520143061
787	5.519472624
788	5.519300537
789	5.518657042
790	5.51819618
791	5.517585065
792	5.516992058
793	5.516347644
794	5.515675935
795	5.515123259
796	5.514223355
797	5.513591116
798	5.512731272
799	5.511953983
800	5.511437341
801	5.511091246
802	5.51061779
803	5.510023098
804	5.509440822
805	5.50887053
806	5.508308724
807	5.507771834
808	5.507306284
809	5.506897832
810	5.505910793
811	5.505636887
812	5.505271844
813	5.504561936
814	5.504151329
815	5.503649675
816	5.502900416
817	5.50261463
818	5.502180649
819	5.501413793
820	5.500788879
821	5.500041276
822	5.499557743
823	5.499203797
824	5.497805182
825	5.497256003
826	5.497037429
827	5.496362549
828	5.495481358
829	5.495195183
830	5.494678848
831	5.494326056
832	5.493624609
833	5.492993169
834	5.492764996
835	5.492226408
836	5.491680671
837	5.490961119
838	5.490489898
839	5.489975388
840	5.489410999
841	5.489107006
842	5.488404454
843	5.488135447
844	5.487470269
845	5.486750668
846	5.48623723
847	5.485477192
848	5.484708728
849	5.484026637
850	5.483390711
851	5.482879283
852	5.482289441
853	5.481591299
854	5.480837684
855	5.480006644
856	5.479343846
857	5.478647086
858	5.47805992
859	5.477655762
860	5.476863886
861	5.476200075
862	5.475622311
863	5.475044611
864	5.474607125
865	5.474380196
866	5.473928084
867	5.473261543
868	5.472269946
869	5.472002402
870	5.471364655
871	5.470656404
872	5.47020203
873	5.469309442
874	5.468920507
875	5.468151116
876	5.467510709
877	5.467282307
878	5.466943482
879	5.466519326
880	5.465910796
881	5.464618785
882	5.463850507
883	5.463017489
884	5.462146582
885	5.461710003
886	5.460872607
887	5.460352523
888	5.459968944
889	5.459276608
890	5.458702492
891	5.458437917
892	5.457806126
893	5.457256143
894	5.456828059
895	5.456280721
896	5.455603968
897	5.454787581
898	5.454134976
899	5.453382377
900	5.453152804
901	5.452816429
902	5.451971988
903	5.451446117
904	5.450787392
905	5.450277979
906	5.449662053
907	5.448912265
908	5.448545346
909	5.44825402
910	5.448075969
911	5.447233955
912	5.446760867
913	5.44614034
914	5.445664601
915	5.445412773
916	5.445219108
917	5.444624709
918	5.443798185
919	5.443474896
920	5.442790978
921	5.441813222
922	5.440357267
923	5.439968229
924	5.439290171
925	5.438205227
926	5.437976824
927	5.43762176
928	5.43697873
929	5.43593062
930	5.434099049
931	5.433828849
932	5.433264599
933	5.432707573
934	5.432093074
935	5.431685011
936	5.431262559
937	5.430771617
938	5.430454556
939	5.430120412
940	5.429735791
941	5.429335001
942	5.428702434
943	5.42813571
944	5.427576005
945	5.427175483
946	5.426952794
947	5.426144975
948	5.425593559
949	5.42485753
950	5.424150692
951	5.42347294
952	5.422451105
953	5.421898087
954	5.4213473
955	5.420760652
956	5.420099646
957	5.419742184
958	5.418851756
959	5.418416361
960	5.41787753
961	5.417283393
962	5.416252564
963	5.415789114
964	5.415209159
965	5.414494779
966	5.413622759
967	5.412952268
968	5.412390962
969	5.411734801
970	5.411291287
971	5.410681096
972	5.410345557
973	5.409981484
974	5.409708077
975	5.409109581
976	5.408512358
977	5.407939103
978	5.406788802
979	5.4060906
980	5.40553533
981	5.405179043
982	5.404651571
983	5.40409863
984	5.403435654
985	5.403229505
986	5.402661186
987	5.402162389
988	5.402021376
989	5.40140514
990	5.400901968
991	5.400361317
992	5.399574315
993	5.399174005
994	5.398444507
995	5.39781513
996	5.39743544
997	5.397286971
998	5.396735089
999	5.396357152
