iter	Passed	Remaining
516	2081	1944
517	2085	1940
518	2089	1936
519	2093	1932
520	2097	1928
521	2102	1925
522	2106	1921
523	2110	1917
524	2114	1913
525	2118	1908
526	2122	1905
527	2126	1900
528	2130	1896
529	2134	1892
530	2137	1888
531	2141	1884
532	2145	1880
533	2149	1875
534	2153	1871
535	2157	1867
536	2161	1863
537	2165	1859
538	2168	1855
539	2173	1851
540	2177	1847
541	2181	1843
542	2187	1840
543	2192	1838
544	2197	1834
545	2201	1830
546	2206	1827
547	2210	1823
548	2214	1819
549	2218	1815
550	2222	1811
551	2227	1807
552	2232	1804
553	2238	1801
554	2243	1798
555	2247	1795
556	2253	1792
557	2261	1791
558	2268	1789
559	2273	1786
560	2281	1785
561	2291	1785
562	2299	1785
563	2305	1782
564	2311	1779
565	2316	1776
566	2322	1773
567	2328	1771
568	2335	1769
569	2342	1767
570	2348	1764
571	2353	1760
572	2358	1757
573	2362	1753
574	2367	1750
575	2373	1747
576	2379	1744
577	2384	1740
578	2391	1738
579	2396	1735
580	2404	1734
581	2408	1730
582	2414	1727
583	2420	1723
584	2425	1720
585	2430	1716
586	2435	1713
587	2439	1709
588	2444	1705
589	2449	1702
590	2454	1698
591	2459	1695
592	2464	1691
593	2468	1687
594	2473	1683
595	2479	1680
596	2484	1677
597	2489	1673
598	2493	1669
599	2498	1665
600	2503	1662
601	2508	1658
602	2513	1654
603	2518	1650
604	2521	1646
605	2526	1642
606	2530	1638
607	2535	1634
608	2540	1630
609	2544	1627
610	2549	1623
611	2553	1618
612	2557	1614
613	2561	1610
614	2566	1606
615	2570	1602
616	2574	1598
617	2579	1594
618	2584	1590
619	2588	1586
620	2592	1582
621	2596	1577
622	2600	1573
623	2604	1569
624	2609	1565
625	2612	1560
626	2617	1556
627	2620	1552
628	2624	1548
629	2628	1543
630	2632	1539
631	2636	1535
632	2640	1530
633	2644	1526
634	2647	1521
635	2652	1517
636	2655	1513
637	2659	1509
638	2663	1504
639	2667	1500
640	2671	1496
641	2675	1491
642	2679	1487
643	2683	1483
644	2687	1478
645	2691	1474
646	2695	1470
647	2699	1466
648	2703	1461
649	2706	1457
650	2711	1453
651	2714	1449
652	2718	1444
653	2722	1440
654	2726	1435
655	2729	1431
656	2733	1427
657	2737	1422
658	2741	1418
659	2744	1414
660	2748	1409
661	2752	1405
662	2756	1401
663	2760	1396
664	2764	1392
665	2768	1388
666	2772	1384
667	2776	1380
668	2780	1375
669	2785	1371
670	2789	1367
671	2793	1363
672	2797	1359
673	2802	1355
674	2806	1351
675	2811	1347
676	2815	1343
677	2819	1339
678	2825	1335
679	2830	1332
680	2835	1328
681	2840	1324
682	2845	1320
683	2849	1316
684	2853	1312
685	2857	1308
686	2862	1304
687	2866	1299
688	2870	1295
689	2873	1291
690	2877	1286
691	2881	1282
692	2885	1278
693	2888	1273
694	2893	1269
695	2897	1265
696	2901	1261
697	2905	1257
698	2909	1252
699	2913	1248
700	2917	1244
701	2921	1240
702	2924	1235
703	2928	1231
704	2932	1226
705	2936	1222
706	2940	1218
707	2944	1214
708	2948	1210
709	2952	1206
710	2956	1201
711	2960	1197
712	2964	1193
713	2967	1188
714	2971	1184
715	2975	1180
716	2978	1175
717	2983	1171
718	2986	1167
719	2990	1162
720	2994	1158
721	2998	1154
722	3003	1150
723	3007	1146
724	3011	1142
725	3016	1138
726	3020	1134
727	3023	1129
728	3028	1125
729	3032	1121
730	3036	1117
731	3040	1113
732	3044	1109
733	3049	1105
734	3053	1100
735	3058	1096
736	3062	1092
737	3065	1088
738	3070	1084
739	3074	1080
740	3078	1075
741	3082	1071
742	3085	1067
743	3090	1063
744	3094	1059
745	3098	1055
746	3103	1050
747	3106	1046
748	3110	1042
749	3115	1038
750	3119	1034
751	3123	1029
752	3127	1025
753	3131	1021
754	3135	1017
755	3139	1013
756	3144	1009
757	3149	1005
758	3153	1001
759	3158	997
760	3162	993
761	3166	989
762	3170	984
763	3175	980
764	3179	976
765	3183	972
766	3187	968
767	3191	964
768	3196	960
769	3200	956
770	3204	951
771	3208	947
772	3212	943
773	3216	939
774	3220	935
775	3224	930
776	3227	926
777	3231	922
778	3235	918
779	3239	913
780	3243	909
781	3247	905
782	3251	901
783	3255	896
784	3259	892
785	3263	888
786	3267	884
787	3271	880
788	3274	875
789	3278	871
790	3282	867
791	3286	863
792	3290	858
793	3295	854
794	3298	850
795	3303	846
796	3307	842
797	3310	838
798	3314	833
799	3318	829
800	3322	825
801	3327	821
802	3330	817
803	3334	812
804	3338	808
805	3343	804
806	3347	800
807	3351	796
808	3355	792
809	3359	788
810	3363	783
811	3368	779
812	3372	775
813	3376	771
814	3380	767
815	3384	763
816	3388	759
817	3392	754
818	3396	750
819	3401	746
820	3405	742
821	3410	738
822	3414	734
823	3418	730
824	3422	725
825	3426	721
826	3431	717
827	3436	713
828	3440	709
829	3445	705
830	3449	701
831	3453	697
832	3457	693
833	3461	689
834	3465	684
835	3469	680
836	3474	676
837	3479	672
838	3483	668
839	3487	664
840	3491	660
841	3496	656
842	3500	651
843	3504	647
844	3508	643
845	3512	639
846	3516	635
847	3521	631
848	3525	626
849	3529	622
850	3534	618
851	3538	614
852	3542	610
853	3546	606
854	3550	602
855	3554	597
856	3559	593
857	3562	589
858	3566	585
859	3570	581
860	3574	577
861	3578	572
862	3582	568
863	3586	564
864	3590	560
865	3595	556
866	3598	552
867	3602	547
868	3607	543
869	3611	539
870	3615	535
871	3619	531
872	3624	527
873	3629	523
874	3633	519
875	3636	514
876	3641	510
877	3644	506
878	3648	502
879	3653	498
880	3656	493
881	3660	489
882	3664	485
883	3668	481
884	3672	477
885	3676	473
886	3680	468
887	3684	464
888	3687	460
889	3691	456
890	3695	452
891	3699	447
892	3703	443
893	3707	439
894	3710	435
895	3715	431
896	3719	427
897	3722	422
898	3727	418
899	3731	414
900	3734	410
901	3738	406
902	3743	402
903	3748	398
904	3752	393
905	3756	389
906	3760	385
907	3764	381
908	3768	377
909	3772	373
910	3776	368
911	3779	364
912	3783	360
913	3787	356
914	3791	352
915	3795	348
916	3798	343
917	3802	339
918	3806	335
919	3810	331
920	3814	327
921	3818	323
922	3822	318
923	3826	314
924	3830	310
925	3834	306
926	3838	302
927	3841	298
928	3846	293
929	3849	289
930	3853	285
931	3857	281
932	3861	277
933	3865	273
934	3869	268
935	3873	264
936	3876	260
937	3880	256
938	3884	252
939	3887	248
940	3891	244
941	3895	239
942	3899	235
943	3902	231
944	3906	227
945	3910	223
946	3914	219
947	3918	214
948	3921	210
949	3925	206
950	3928	202
951	3932	198
952	3936	194
953	3940	189
954	3943	185
955	3947	181
956	3951	177
957	3955	173
958	3959	169
959	3963	165
960	3966	160
961	3970	156
962	3974	152
963	3978	148
964	3981	144
965	3985	140
966	3989	136
967	3993	132
968	3997	127
969	4000	123
970	4004	119
971	4008	115
972	4012	111
973	4015	107
974	4019	103
975	4023	98
976	4027	94
977	4031	90
978	4035	86
979	4038	82
980	4042	78
981	4046	74
982	4050	70
983	4053	65
984	4057	61
985	4061	57
986	4065	53
987	4069	49
988	4072	45
989	4076	41
990	4080	37
991	4084	32
992	4088	28
993	4092	24
994	4096	20
995	4101	16
996	4105	12
997	4109	8
998	4113	4
999	4117	0
